Fecha,DISTRITO FEDERAL
31/12/2019,0
01/01/2020,0
02/01/2020,0
03/01/2020,0
04/01/2020,0
05/01/2020,0
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,0
31/01/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,1
25/02/2020,0
26/02/2020,1
27/02/2020,3
28/02/2020,1
29/02/2020,0
01/03/2020,0
02/03/2020,0
03/03/2020,3
04/03/2020,3
05/03/2020,4
06/03/2020,1
07/03/2020,2
08/03/2020,3
09/03/2020,2
10/03/2020,3
11/03/2020,16
12/03/2020,23
13/03/2020,27
14/03/2020,22
15/03/2020,10
16/03/2020,28
17/03/2020,36
18/03/2020,32
19/03/2020,64
20/03/2020,36
21/03/2020,22
22/03/2020,18
23/03/2020,44
24/03/2020,64
25/03/2020,46
26/03/2020,71
27/03/2020,65
28/03/2020,62
29/03/2020,38
30/03/2020,78
31/03/2020,60
01/04/2020,69
02/04/2020,84
03/04/2020,96
04/04/2020,64
05/04/2020,59
06/04/2020,140
07/04/2020,144
08/04/2020,133
09/04/2020,150
10/04/2020,173
11/04/2020,124
12/04/2020,123
13/04/2020,288
14/04/2020,265
15/04/2020,254
16/04/2020,268
17/04/2020,359
18/04/2020,214
19/04/2020,214
20/04/2020,503
21/04/2020,487
22/04/2020,462
23/04/2020,418
24/04/2020,566
25/04/2020,304
26/04/2020,278
27/04/2020,549
28/04/2020,617
29/04/2020,646
30/04/2020,601
01/05/2020,397
02/05/2020,373
03/05/2020,342
04/05/2020,796
05/05/2020,641
06/05/2020,737
07/05/2020,778
08/05/2020,845
09/05/2020,443
10/05/2020,414
11/05/2020,868
12/05/2020,874
13/05/2020,926
14/05/2020,854
15/05/2020,1007
16/05/2020,635
17/05/2020,411
18/05/2020,1133
19/05/2020,1077
20/05/2020,1091
21/05/2020,1015
22/05/2020,965
23/05/2020,517
24/05/2020,401
25/05/2020,1084
26/05/2020,950
27/05/2020,1011
28/05/2020,866
29/05/2020,971
30/05/2020,566
31/05/2020,441
01/06/2020,1107
02/06/2020,945
03/06/2020,1013
04/06/2020,953
05/06/2020,966
06/06/2020,556
07/06/2020,407
08/06/2020,1045
09/06/2020,1023
10/06/2020,969
11/06/2020,897
12/06/2020,933
13/06/2020,425
14/06/2020,358
15/06/2020,942
16/06/2020,1005
17/06/2020,960
18/06/2020,956
19/06/2020,897
20/06/2020,464
21/06/2020,290
22/06/2020,890
23/06/2020,889
24/06/2020,811
25/06/2020,838
26/06/2020,927
27/06/2020,381
28/06/2020,323
29/06/2020,984
30/06/2020,943
01/07/2020,1020
02/07/2020,891
03/07/2020,953
04/07/2020,390
05/07/2020,245
06/07/2020,1011
07/07/2020,965
08/07/2020,960
09/07/2020,758
10/07/2020,883
11/07/2020,418
12/07/2020,265
13/07/2020,1087
14/07/2020,943
15/07/2020,1231
16/07/2020,1150
17/07/2020,1196
18/07/2020,670
19/07/2020,275
20/07/2020,1169
21/07/2020,1173
22/07/2020,1214
23/07/2020,1131
24/07/2020,1079
25/07/2020,565
26/07/2020,269
27/07/2020,1076
28/07/2020,1078
29/07/2020,1088
30/07/2020,1063
31/07/2020,951
01/08/2020,551
02/08/2020,269
03/08/2020,884
04/08/2020,1043
05/08/2020,1024
06/08/2020,931
07/08/2020,1010
08/08/2020,481
09/08/2020,194
10/08/2020,904
11/08/2020,1046
12/08/2020,1039
13/08/2020,1016
14/08/2020,1055
15/08/2020,485
16/08/2020,192
17/08/2020,1026
18/08/2020,1202
19/08/2020,1149
20/08/2020,975
21/08/2020,1094
22/08/2020,518
23/08/2020,282
24/08/2020,1102
25/08/2020,1094
26/08/2020,1459
27/08/2020,1277
28/08/2020,1305
29/08/2020,751
30/08/2020,265
31/08/2020,1075
01/09/2020,1457
02/09/2020,1497
03/09/2020,1380
04/09/2020,1261
05/09/2020,674
06/09/2020,258
07/09/2020,1010
08/09/2020,1391
09/09/2020,1329
10/09/2020,1234
11/09/2020,1221
12/09/2020,750
13/09/2020,237
14/09/2020,1000
15/09/2020,796
16/09/2020,237
17/09/2020,1305
18/09/2020,1172
19/09/2020,657
20/09/2020,269
21/09/2020,983
22/09/2020,1271
23/09/2020,1219
24/09/2020,1172
25/09/2020,1163
26/09/2020,756
27/09/2020,308
28/09/2020,1133
29/09/2020,1239
30/09/2020,1222
01/10/2020,1193
02/10/2020,1064
03/10/2020,560
04/10/2020,237
05/10/2020,1048
06/10/2020,1226
07/10/2020,1245
08/10/2020,1200
09/10/2020,1210
10/10/2020,557
11/10/2020,303
12/10/2020,1258
13/10/2020,1375
14/10/2020,1232
15/10/2020,1348
16/10/2020,1522
17/10/2020,681
18/10/2020,331
19/10/2020,1879
20/10/2020,1982
21/10/2020,1750
22/10/2020,1785
23/10/2020,1893
24/10/2020,788
25/10/2020,321
26/10/2020,1986
27/10/2020,1926
28/10/2020,1949
29/10/2020,1706
30/10/2020,1544
31/10/2020,700
01/11/2020,312
02/11/2020,659
03/11/2020,2165
04/11/2020,2002
05/11/2020,1957
06/11/2020,1770
07/11/2020,832
08/11/2020,348
09/11/2020,2411
10/11/2020,2338
11/11/2020,2141
12/11/2020,2028
13/11/2020,2030
14/11/2020,930
15/11/2020,424
16/11/2020,447
17/11/2020,2517
18/11/2020,2170
19/11/2020,2002
20/11/2020,2151
21/11/2020,1237
22/11/2020,472
23/11/2020,2877
24/11/2020,2972
25/11/2020,2765
26/11/2020,2826
27/11/2020,3105
28/11/2020,1664
29/11/2020,599
30/11/2020,3776
01/12/2020,4043
02/12/2020,4372
03/12/2020,4420
04/12/2020,4597
05/12/2020,2782
06/12/2020,763
07/12/2020,5325
08/12/2020,5037
09/12/2020,5027
10/12/2020,5237
11/12/2020,5143
12/12/2020,2877
13/12/2020,703
14/12/2020,5412
15/12/2020,5445
16/12/2020,5176
17/12/2020,5168
18/12/2020,5585
19/12/2020,2940
20/12/2020,816
21/12/2020,5526
22/12/2020,5364
23/12/2020,5179
24/12/2020,4488
25/12/2020,612
26/12/2020,1948
27/12/2020,1035
28/12/2020,6082
29/12/2020,6151
30/12/2020,5623
31/12/2020,4904
01/01/2021,691
02/01/2021,1889
03/01/2021,1095
04/01/2021,6706
05/01/2021,6674
06/01/2021,6584
07/01/2021,6735
08/01/2021,6659
09/01/2021,3906
10/01/2021,1309
11/01/2021,7350
12/01/2021,6891
13/01/2021,6797
14/01/2021,6578
15/01/2021,6279
16/01/2021,3739
17/01/2021,1086
18/01/2021,6602
19/01/2021,6441
20/01/2021,5738
21/01/2021,5504
22/01/2021,5534
23/01/2021,3085
24/01/2021,1074
25/01/2021,5808
26/01/2021,5839
27/01/2021,5037
28/01/2021,4620
29/01/2021,4254
30/01/2021,2376
31/01/2021,790
01/02/2021,1127
02/02/2021,4480
03/02/2021,3861
04/02/2021,3623
05/02/2021,3491
06/02/2021,1887
07/02/2021,544
08/02/2021,3915
09/02/2021,3085
10/02/2021,2931
11/02/2021,2626
12/02/2021,2918
13/02/2021,1712
14/02/2021,511
15/02/2021,2952
16/02/2021,2773
17/02/2021,2465
18/02/2021,2404
19/02/2021,2396
20/02/2021,1343
21/02/2021,469
22/02/2021,3015
23/02/2021,2720
24/02/2021,2396
25/02/2021,2385
26/02/2021,2529
27/02/2021,1509
28/02/2021,527
01/03/2021,2926
02/03/2021,2582
03/03/2021,2447
04/03/2021,2298
05/03/2021,2205
06/03/2021,1252
07/03/2021,478
08/03/2021,2443
09/03/2021,2070
10/03/2021,1761
11/03/2021,1863
12/03/2021,1889
13/03/2021,1033
14/03/2021,441
15/03/2021,540
16/03/2021,2388
17/03/2021,1941
18/03/2021,1829
19/03/2021,1588
20/03/2021,951
21/03/2021,345
22/03/2021,1956
23/03/2021,1812
24/03/2021,1513
25/03/2021,1517
26/03/2021,1372
27/03/2021,900
28/03/2021,322
29/03/2021,1647
30/03/2021,1528
31/03/2021,1403
01/04/2021,576
02/04/2021,434
03/04/2021,328
04/04/2021,285
05/04/2021,1625
06/04/2021,1405
07/04/2021,1357
08/04/2021,1235
09/04/2021,1275
10/04/2021,798
11/04/2021,233
12/04/2021,1433
13/04/2021,1278
14/04/2021,1166
15/04/2021,1166
16/04/2021,989
17/04/2021,592
18/04/2021,217
19/04/2021,1190
20/04/2021,1065
21/04/2021,1072
